1,0
2,3
3,0
4,0
5,6
6,3
7,2
8,1
9,4
10,1
11,3
12,1
13,3
14,6
15,2
16,0
17,1
18,5
19,2
20,5
21,6
22,6
23,5
24,2
25,4
26,6
27,2
28,5
29,6
30,6
31,4
32,3
33,5
34,4
35,2
36,1
37,0
38,0
39,0
40,1
41,4
42,6
43,1
44,3
45,5
46,6
47,2
48,3
49,4
50,5
51,0
52,6
53,4
54,5
55,5
56,3
57,6
58,1
59,1
60,0
61,3
62,4
63,6
64,5
65,4
66,1
67,0
68,4
69,2
70,0
71,2
72,0
73,6
74,4
75,2
76,4
77,3
78,4
79,4
80,6
81,1
82,0
83,1
84,4
85,6
86,3
87,6
88,5
89,1
90,2
91,1
92,4
93,5
94,6
95,6
96,3
97,1
98,6
99,0
100,3
101,1
102,2
103,4
104,4
105,2
106,4
107,2
108,0
109,0
110,0
111,6
112,3
113,5
114,6
115,2
116,3
117,5
118,5
119,5
120,3
121,6
122,5
123,3
124,3
125,5
126,6
127,4
128,3
129,0
130,4
131,5
132,5
133,5
134,1
135,6
136,3
137,2
138,5
139,4
140,1
141,4
142,4
143,2
144,4
145,2
146,2
147,1
148,1
149,2
150,1
151,0
152,5
153,1
154,3
155,3
156,5
157,6
158,3
159,1
160,6
161,3
162,6
163,5
164,1
165,1
166,5
167,6
168,2
169,5
170,5
171,5
172,5
173,5
174,6
175,2
176,1
177,2
178,5
179,5
180,1
181,1
182,3
183,2
184,5
185,5
186,4
187,2
188,5
189,6
190,6
191,6
192,1
193,6
194,4
195,4
196,4
197,0
198,6
199,2
200,3
201,1
202,0
203,5
204,1
205,3
206,3
207,5
208,1
209,0
210,0
211,6
212,1
213,1
214,5
215,0
216,5
217,6
218,3
219,6
220,6
221,5
222,3
223,1
224,5
225,0
226,2
227,0
228,0
229,0
230,1
231,4
232,3
233,4
234,2
235,2
236,0
237,4
238,2
239,1
240,1
241,5
242,4
243,1
244,3
245,2
246,0
247,4
248,3
249,6
250,1
251,6
252,1
253,1
254,6
255,6
256,5
257,4
258,4
259,5
260,2
261,0
262,5
263,1
264,6
265,3
266,5
267,0
268,0
269,2
270,4
271,4
272,1
273,1
274,1
275,1
276,4
277,5
278,6
279,6
280,6
281,2
282,1
283,6
284,6
285,5
286,1
287,6
288,6
289,1
290,0
291,5
292,0
293,0
294,6
295,5
296,1
297,5
298,4
299,1
300,3
301,6
302,2
303,4
304,1
305,5
306,5
307,2
308,4
309,1
310,0
311,0
312,1
313,1
314,5
315,2
316,5
317,6
318,0
319,3
320,4
321,6
322,4
323,0
324,2
325,1
326,5
327,2
328,2
329,5
330,0
331,0
332,3
333,1
334,0
335,3
336,4
337,4
338,1
339,1
340,6
341,4
342,4
343,2
344,0
345,3
346,4
347,1
348,1
349,4
350,3
351,6
352,5
353,1
354,6
355,0
356,6
357,1
358,5
359,4
360,0
361,0
362,1
363,3
364,3
365,4
366,0
367,2
368,6
369,5
370,3
371,2
372,5
373,1
374,1
375,1
376,4
377,5
378,1
379,3
380,0
381,0
382,6
383,2
384,4
385,6
386,5
387,3
388,5
389,1
390,3
391,1
392,3
393,3
394,3
395,4
396,0
397,2
398,4
399,5
400,5
401,3
402,3
403,6
404,6
405,4
406,2
407,0
408,1
409,3
410,6
411,1
412,2
413,0
414,4
415,6
416,6
417,4
418,5
419,3
420,1
421,3
422,5
423,5
424,4
425,5
426,1
427,4
428,1
429,0
430,2
431,0
432,2
433,1
434,4
435,1
436,2
437,4
438,6
439,4
440,6
441,1
442,5
443,2
444,0
445,5
446,0
447,4
448,2
449,0
450,0
451,1
452,2
453,3
454,1
455,0
456,2
457,3
458,3
459,2
460,4
461,1
462,2
463,6
464,2
465,3
466,0
467,6
468,5
469,1
470,1
471,6
472,0
473,6
474,4
475,6
476,5
477,3
478,4
479,2
480,4
481,0
482,0
483,3
484,3
485,5
486,5
487,2
488,4
489,0
490,5
491,3
492,3
493,3
494,3
495,4
496,1
497,6
498,5
499,4
500,1
501,1
502,2
503,3
504,1
505,6
506,3
507,5
508,2
509,5
510,5
511,2
512,6
513,4
514,0
515,1
516,2
517,5
518,3
519,2
520,5
521,0
522,0
523,6
524,3
525,5
526,6
527,6
528,1
529,5
530,0
531,5
532,5
533,1
534,1
535,3
